"a_id","a_uid","a_magid"
"13","22","189"
"14","22","81"
"33","180","78"
"34","180","144"
"35","186","229"
"36","190","247"
"37","204","211"
"38","197","139"
"39","207","278"
"40","195","121"
"41","223","280"
"42","187","130"
"43","227","182"
"44","229","265"
"45","231","289"
"46","237","82"
"47","239","127"
"48","239","156"
"49","240","284"
"50","241","280"
"51","243","280"
"52","243","43"
"53","244","156"
"54","245","280"
"55","249","131"
"56","249","18"
"57","252","290"
"58","253","258"
"59","253","280"
"61","255","210"
"62","256","280"
"63","263","229"
"64","264","137"
"65","265","280"
"66","265","280"
"67","266","276"
"68","274","292"
"69","277","58"
"70","277","278"
"71","278","78"
"72","279","223"
"73","280","265"
"74","281","76"
"75","281","289"
"76","281","112"
"77","283","280"
"78","285","187"
"79","285","201"
"80","285","7"
"81","285","70"
"82","294","181"
"83","296","280"
"84","297","156"
"85","290","301"
"86","308","60"
"87","309","172"
"88","309","270"
"89","309","184"
"90","309","40"
"91","309","20"
"92","312","66"
"93","314","279"
"94","316","183"
"95","322","287"
"96","323","280"
"97","324","279"
"98","327","280"
"99","329","228"
"100","334","284"
"101","337","119"
"102","344","280"
"103","344","297"
"104","346","54"
"105","346","54"
"106","348","279"
"107","260","280"
"108","350","94"
"109","350","266"
"110","351","280"
"111","352","31"
"112","352","279"
"113","354","202"
"114","354","202"
"115","354","96"
"116","354","31"
"117","355","143"
"118","357","152"
"119","359","133"
"120","360","279"
"121","361","88"
"122","362","47"
"123","364","104"
"124","367","279"
"125","371","279"
"126","374","305"
"127","375","279"
"128","370","303"
"129","376","305"
"130","378","280"
"131","379","54"
"132","380","137"
"133","381","289"
"134","382","279"
"135","385","293"
"136","388","285"
"137","388","285"
"138","388","285"
"139","388","190"
"140","389","140"
"141","389","188"
"142","390","31"
"143","392","122"
"144","394","284"
"145","396","111"
"146","396","279"
"147","397","45"
"148","400","280"
"149","402","15"
"150","409","69"
"151","409","111"
"152","409","96"
"153","412","307"
"154","423","243"
"155","425","287"
"156","426","310"
"157","432","237"
"158","432","31"
"159","432","279"
"160","436","223"
"161","438","280"
"162","437","57"
"163","441","289"
"164","441","289"
"165","441","289"
"166","431","31"
"167","316","291"
"168","316","152"
"169","448","194"
"170","449","106"
"171","449","106"
"172","450","289"
"173","450","276"
"174","451","280"
"175","452","279"
"176","453","184"
"177","454","133"
"178","436","56"
"179","458","19"
"180","459","73"
"181","464","284"
"182","466","275"
"183","467","253"
"184","477","280"
"185","479","82"
"186","480","280"
"187","480","280"
"188","485","280"
"189","487","114"
"190","487","131"
"191","489","108"
"192","490","228"
"193","490","248"
"194","491","293"
"195","499","279"
"196","180","274"
"197","503","156"
"198","503","127"
"199","507","280"
"200","508","284"
"201","509","220"
"202","509","107"
"203","509","266"
"204","509","284"
"205","512","212"
"206","513","280"
"207","514","83"
"208","514","257"
"209","516","280"
"212","518","122"
"213","518","5"
"214","519","228"
"215","520","191"
"216","523","280"
"217","524","279"
"218","528","279"
"219","530","280"
"220","532","293"
"221","535","156"
"222","535","169"
"223","538","31"
"224","541","100"
"225","542","195"
"226","543","299"
"227","545","133"
"228","537","303"
"229","550","122"
"230","550","5"
"231","553","188"
"232","554","280"
"233","556","278"
"234","559","303"
"235","560","45"
"236","564","108"
"237","564","108"
"238","566","280"
"239","567","241"
"240","567","307"
"241","568","5"
"242","568","280"
"243","577","279"
"244","577","279"
"245","578","299"
"246","579","280"
"247","565","98"
"248","581","176"
"249","581","19"
"250","581","165"
"251","585","31"
"252","585","279"
"253","586","271"
"254","588","139"
"255","589","31"
"256","589","279"
"257","598","117"
"258","600","284"
"259","603","299"
"260","605","284"
"261","606","279"
"262","606","279"
"263","611","284"
"264","612","169"
"265","613","218"
"266","555","279"
"267","619","279"
"268","620","18"
"269","620","295"
"270","620","131"
"271","620","11"
"272","621","55"
"273","623","81"
"274","628","314"
"275","632","279"
"276","634","314"
"277","635","314"
"278","636","314"
"279","637","303"
"280","637","299"
"281","508","303"
"282","508","317"
"283","648","284"
"284","651","269"
"285","652","81"
"286","653","225"
"287","653","225"
"288","653","235"
"289","653","235"
"290","653","88"
"291","656","141"
"292","664","122"
"293","664","122"
"294","664","122"
"295","665","142"
"296","667","313"
"297","669","167"
"298","669","162"
"299","674","280"
"300","676","214"
"301","673","12"
"302","673","9"
"303","679","70"
"304","687","246"
"305","688","217"
"306","693","316"
"307","697","314"
"308","702","228"
"309","158","210"
"310","705","40"
"311","704","280"
"312","706","55"
"313","709","82"
"314","710","228"
"315","714","194"
"316","714","198"
"317","717","145"
"318","718","279"
"319","720","290"
"320","722","79"
"321","728","189"
"322","726","122"
"323","730","152"
"324","732","18"
"325","733","18"
"326","735","122"
"327","738","293"
"328","737","76"
"329","740","280"
"330","746","259"
"331","748","133"
"332","749","287"
"333","750","195"
"334","755","182"
"335","759","155"
"336","759","149"
"337","764","284"
"338","765","142"
"339","766","62"
"340","769","314"
"341","771","299"
"342","771","315"
"343","774","82"
"344","776","307"
"345","777","218"
"346","777","218"
"347","778","295"
"348","779","137"
"349","781","293"
"350","782","210"
"351","785","316"
"354","786","275"
"355","788","69"
"356","747","82"
"358","792","257"
"359","796","230"
"360","796","64"
"361","797","284"
"362","799","273"
"363","803","314"
"364","804","284"
"365","805","145"
"366","808","79"
"367","809","293"
"368","811","314"
"369","812","278"
"370","815","83"
"371","818","62"
"372","822","148"
"373","824","312"
"374","829","280"
"375","830","295"
"376","831","280"
"377","832","258"
"378","833","121"
"379","836","313"
"380","839","280"
"381","847","219"
"382","849","122"
"383","567","59"
"384","853","193"
"385","853","199"
"386","853","221"
"387","854","119"
"388","854","119"
"389","547","285"
"390","508","312"
"391","819","314"
"392","382","31"
"393","719","299"
"394","638","314"
"395","634","156"
"396","857","284"
"397","210","249"
"398","210","43"
"399","210","43"
"400","861","250"
"401","243","5"
"402","442","190"
"403","881","305"
"404","889","122"
"405","890","243"
"406","891","280"
"407","899","273"
"408","901","145"
"409","901","170"
"410","901","145"
"411","903","218"
"412","904","70"
"413","906","55"
"414","909","228"
"415","910","268"
"416","911","314"
"417","912","290"
"418","915","108"
"419","916","271"
"420","917","105"
"421","918","133"
"422","918","105"
"423","919","265"
"424","920","280"
"425","922","319"
"426","922","271"
"427","924","105"
"428","926","310"
"429","935","228"
"430","935","228"
"431","937","175"
"432","938","38"
"433","942","135"
"434","943","287"
"435","944","82"
"436","945","239"
"437","948","149"
"438","951","122"
"439","952","117"
"440","956","265"
"441","957","284"
"442","959","318"
"443","961","220"
"444","960","246"
"445","963","137"
"446","962","18"
"447","967","17"
"448","969","191"
"449","972","127"
"450","972","314"
"451","974","250"
"452","979","300"
"453","981","190"
"454","986","239"
"455","987","279"
"456","990","184"
"457","992","305"
"458","993","159"
"459","993","114"
"460","996","291"
"461","997","258"
"462","998","298"
"463","1000","137"
"464","1001","314"
"465","994","316"
"466","851","247"
"467","1003","278"
"468","1007","209"
"469","1009","122"
"470","1012","290"
"471","1016","231"
"472","1016","231"
"473","1019","166"
"474","1020","269"
"475","1024","314"
"476","1033","163"
"477","1038","217"
"478","1038","296"
"479","1038","323"
"480","1038","323"
"481","1038","82"
"482","1038","245"
"483","1040","41"
"484","1042","272"
"485","1042","268"
"486","1042","108"
"487","1042","273"
"488","1042","222"
"489","1042","194"
"490","1042","198"
"491","1042","218"
"492","1042","250"
"493","1043","113"
"494","1044","289"
"495","1027","284"
"496","1047","133"
"497","1048","121"
"498","1049","122"
"499","1049","5"
"500","1054","80"
"501","1051","314"
"502","1055","279"
"503","1060","163"
"504","1061","139"
"505","1069","137"
"506","1070","265"
"507","1071","191"
"508","1073","222"
"509","1076","284"
"510","1078","47"
"511","1079","81"
"512","1080","312"
"513","1084","310"
"514","1087","280"
"515","1090","315"
"516","1075","81"
"517","1096","112"
"518","1097","241"
"519","1099","279"
"520","1099","237"
"521","1101","287"
"522","1104","175"
"523","1104","175"
"524","1105","185"
"525","1106","145"
"526","1107","190"
"527","1112","284"
"528","1113","278"
"529","1121","149"
"530","1126","122"
"531","1131","275"
"532","1132","273"
"533","1134","41"
"534","1137","278"
"535","1142","88"
"536","1145","250"
"537","1145","250"
"538","1146","271"
"539","1147","258"
"540","1150","50"
"541","1150","50"
"542","1151","128"
"543","1151","38"
"544","1151","38"
"545","1153","265"
"546","1155","82"
"547","1157","250"
"548","1158","184"
"549","1160","258"
"550","1163","75"
"551","1164","218"
"552","1164","194"
"553","1166","257"
"554","1167","218"
"555","1168","290"
"556","1170","47"
"557","1174","232"
"558","1181","278"
"559","1183","297"
"560","1185","273"
"561","1186","225"
"562","1189","284"
"563","1190","108"
"564","1193","280"
"565","1195","312"
"566","1196","122"
"567","1197","265"
"568","1197","209"
"569","1199","100"
"570","1201","74"
"571","1202","273"
"572","1209","122"
"573","1210","312"
"574","1211","250"
"575","1212","257"
"576","1213","325"
"577","1221","22"
"578","1225","326"
"579","1226","265"
"580","1227","314"
"581","1228","101"
"582","1231","17"
"583","1232","18"
"584","1233","284"
"585","1234","284"
"586","1236","265"
"587","1240","245"
"588","1242","325"
"589","1243","60"
"590","1246","278"
"591","1247","81"
"592","1248","280"
"593","1249","299"
"594","1250","293"
"595","1251","233"
"596","1255","174"
"597","1256","97"
"598","1257","275"
"599","1257","180"
"600","1260","280"
"601","1260","320"
"602","1260","297"
"603","1263","8"
"604","1263","248"
"605","1267","97"
"606","1270","268"
"607","1272","58"
"608","1273","250"
"609","1273","198"
"610","1273","218"
"611","1275","60"
"612","1277","300"
"613","1278","37"
"614","1278","117"
"615","1281","82"
"616","1282","218"
"617","1282","218"
"618","1283","258"
"619","1283","249"
"620","1284","268"
"621","1285","299"
"622","1292","261"
"623","1291","314"
"624","1207","218"
"625","1297","172"
"626","1299","290"
"627","1300","290"
"628","1300","290"
"629","1301","148"
"630","1305","52"
"631","1305","153"
"632","1305","200"
"633","1305","210"
"634","1305","83"
"635","1305","247"
"636","1305","66"
"637","1305","38"
"638","1305","128"
"639","1305","57"
"640","1305","282"
"641","1305","33"
"642","1305","174"
"643","1305","47"
"644","1305","310"
"645","1305","171"
"646","1305","143"
"647","1305","301"
"648","1305","49"
"649","1305","191"
"650","1305","142"
"651","1305","265"
"652","1305","324"
"653","1305","209"
"654","1305","202"
"655","1305","31"
"656","1305","96"
"657","1305","111"
"658","1305","158"
"659","1305","189"
"660","1305","237"
"661","1305","279"
"662","1305","73"
"663","1305","97"
"664","1305","69"
"665","1305","81"
"666","1305","257"
"667","1307","331"
"668","1306","211"
"669","1306","29"
"670","1306","22"
"671","1308","303"
"672","1316","228"
"673","1318","172"
"674","1319","80"
"675","1323","293"
"676","1326","38"
"677","1328","166"
"678","1329","133"
"679","1322","17"
"680","1330","149"
"681","1330","327"
"682","1330","17"
"683","1331","250"
"684","1336","278"
"685","1338","16"
"686","1339","191"
"687","1342","279"
"688","1344","156"
"689","1346","223"
"690","1347","278"
"691","1348","274"
"692","1349","284"
"693","1352","310"
"694","1350","265"
"695","1353","314"
"696","1354","284"
"697","1359","275"
"698","1361","219"
"699","1358","314"
"700","1366","171"
"701","1366","47"
"702","1367","174"
"703","1372","223"
"704","1372","223"
"705","1372","223"
"708","1373","273"
"709","1374","204"
"710","1379","307"
"711","1379","290"
"712","1380","36"
"713","1380","37"
"714","1381","199"
"715","1382","284"
"716","1383","293"
"717","1386","97"
"718","1388","121"
"719","1388","80"
"720","1388","317"
"721","1390","133"
"722","1392","148"
"723","1395","166"
"724","1397","106"
"725","1398","225"
"726","1398","228"
"727","1400","13"
"728","1394","231"
"729","1401","218"
"730","1393","218"
"731","1402","279"
"732","1402","279"
"733","1169","312"
"734","1404","286"
"735","1405","111"
"736","1407","166"
"737","1409","232"
"738","1411","254"
"739","1415","297"
"740","1420","288"
"741","1421","330"
"742","1424","148"
"743","1424","166"
"744","1417","282"
"745","1428","290"
"746","1429","321"
"747","1429","334"
"748","1432","197"
"749","1436","38"
"750","1438","300"
"751","1439","305"
"752","1440","238"
"753","1440","303"
"754","1441","100"
"755","1442","250"
"756","1445","253"
"757","1445","254"
"758","1445","168"
"759","1445","295"
"760","1447","199"
"761","1449","284"
"762","1454","169"
"763","1454","46"
"764","1456","330"
"765","1457","228"
"766","1463","190"
"767","1455","287"
"768","1464","105"
"769","1466","209"
"770","1466","265"
"771","1470","105"
"772","1485","280"
"773","1482","271"
"774","1486","175"
"775","1488","15"
"776","1488","15"
"777","1488","190"
"778","1490","66"
"779","1491","62"
"780","1494","31"
"781","1499","80"
"782","1501","280"
"783","1504","100"
"784","1507","36"
"785","1510","287"
"786","1510","123"
"787","1513","168"
"788","1516","175"
"789","1517","271"
"790","1518","209"
"791","1519","310"
"792","1519","47"
"793","1521","169"
"794","1522","122"
"795","1523","33"
"796","1524","122"
"797","1525","82"
"798","1526","191"
"799","1527","284"
"800","1533","310"
"801","1535","161"
"802","1536","88"
"803","1539","191"
"804","1541","287"
"805","1541","123"
"806","1547","285"
"807","1547","177"
"808","1554","93"
"809","1558","50"
"810","1560","210"
"811","1566","297"
"812","1566","43"
"813","1570","147"
"814","1576","287"
"815","1577","273"
"816","1580","40"
"817","1581","41"
"818","1582","172"
"819","1584","280"
"820","1586","167"
"821","1586","6"
"822","1586","162"
"823","1588","22"
"824","1594","147"
"825","1597","289"
"826","1598","81"
"827","1599","310"
"828","1601","330"
"829","1600","276"
"830","1604","279"
"831","1602","279"
"832","1609","290"
"833","1610","268"
"834","1614","38"
"835","1618","125"
"836","1619","239"
"837","1624","239"
"838","1626","223"
"839","1627","250"
"840","1628","275"
"841","1629","60"
"842","1630","314"
"843","1630","314"
"844","1631","297"
"845","1633","320"
"846","1634","57"
"847","1635","312"
"848","1636","266"
"849","1639","136"
"850","1639","341"
"851","1639","271"
"852","1639","270"
"853","1639","40"
"854","1640","339"
"855","1644","280"
"856","1645","147"
"857","1645","270"
"858","1646","293"
"859","1646","293"
"860","1650","247"
"861","1651","82"
"862","1652","33"
"863","1654","167"
"864","1655","314"
"865","1656","35"
"866","1656","34"
"867","1658","293"
"868","1659","96"
"869","1659","202"
"870","1662","331"
"871","1666","119"
"872","1670","342"
"873","1670","209"
"874","1670","209"
"875","1671","94"
"876","1672","280"
"877","1680","17"
"878","1681","280"
"879","1679","100"
"880","1683","280"
"881","1683","280"
"882","1687","97"
"883","1687","257"
"884","1687","81"
"885","1689","33"
"886","1689","33"
"887","1694","152"
"888","1696","117"
"889","1702","290"
"890","1703","232"
"891","1703","103"
"892","1705","70"
"893","1704","154"
"894","1704","313"
"895","1709","38"
"896","1713","250"
"897","1717","336"
"898","1718","284"
"899","1719","166"
"900","1722","275"
"901","1725","181"
"902","1725","16"
"903","1726","299"
"904","1727","319"
"905","1732","296"
"906","1733","175"
"907","1733","175"
"908","1734","331"
"909","1736","204"
"910","1737","94"
"911","1739","194"
"912","1736","213"
"913","1743","250"
"914","1748","324"
"915","1750","284"
"916","1750","266"
"917","1751","270"
"918","1751","227"
"919","1760","34"
"920","1762","287"
"921","1763","128"
"922","1776","284"
"923","1777","60"
"924","1781","237"
"925","1782","287"
"926","1783","348"
"927","1787","336"
"928","1790","218"
"929","1793","316"
"930","1795","319"
"931","1795","319"
"932","1797","246"
"933","1799","213"
"934","1799","21"
"935","1800","209"
"936","1805","228"
